id,total,total_possession,total_distribution,incidents_this_week,possession_this_week,distribution_this_week,incidents_last_week,possession_last_week,distribution_last_week,incidents_this_month,possession_this_month,distribution_this_month,incidents_last_month,incidents_last_month,distribution_last_month,cocaine_possession,cocaine_distribution,heroin_possession,heroin_distribution,class_c_possession,class_c_distribution,class_d_possession,class_d_distribution,class_e_possession,count
894,14,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,3,1,0,0
413,14,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,1,1,0,0
495,14,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,1,0,0
533,14,4,6,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,1,0,0,4,1,0,0
796,14,6,6,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,1,1,0,1,1,0,0
723,14,3,5,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,0,1,2,0,0,0
822,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,1,0,0,0
493,14,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,1,0
646,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,0,1,0,0
253,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,1,0,0,0
720,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,3,1,0
483,13,6,7,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,2,0,0,2,0,0,0
676,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,0,0,0,0,0
334,13,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,0,0,1
611,13,3,6,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,1,1,0,0
602,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0
798,13,6,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,3,2,0,0
570,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,0,3,0
403,13,8,2,0,0,0,0,0,0,1,0,1,2,2,0,3,0,2,1,0,0,1,1,2,0
530,13,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,1,0,0
555,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,1,1,0,0
490,13,5,6,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,1,0,0,0,0,0,0
505,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,4,1,0,0
647,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,1,0
559,12,5,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,3,2,0,0
649,12,7,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,3,0
461,12,6,4,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,3,0,0,2,0,0,0
59,12,8,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,2,0,1,0
